ticker,company,cik,revenue,shares_outstanding,revenue_per_share
KMB,Kimberly-Clark,0000055785,16447000000.0,331900000.0,49.554082554986444
KIM,Kimco Realty,0000879101,2140116000.0,674093047.0,3.1748080024329344
KMI,Kinder Morgan,0001506307,15202000000.0,2224777750.0,6.833042087012961
KKR,KKR & Co.,0001404912,2006791000.0,891451844.0,2.251149081699583
KLAC,KLA Corporation,0000319201,12156162000.0,132023000.0,92.07609280201177
KHC,Kraft Heinz,0001637459,24942000000.0,1184000000.0,21.06587837837838
KR,Kroger,0000056873,147642000000.0,612575611.0,241.0184103787312
LHX,L3Harris,0000202058,21865000000.0,186844093.0,117.02269870527832
LH,Labcorp,0000920148,13951700000.0,82200000.0,169.7287104622871
LRCX,Lam Research,0000707549,18435591000.0,1251180000.0,14.734563372176666
LVS,Las Vegas Sands,0001300514,13017000000.0,675000000.0,19.284444444444443
LDOS,Leidos,0001336920,17107000000.0,126380657.0,135.36090416114865
LEN,Lennar,0000920760,34186934000.0,257746000.0,132.6380777975216
LII,Lennox International,0001069202,5195300000.0,34802911.0,149.27774288765673
LLY,Lilly (Eli),0000059478,65179000000.0,943357420.0,69.09258210954656
LIN,Linde plc,0001707925,33986000000.0,508680879.0,66.81202577697047
LYV,Live Nation Entertainment,0001335258,25201406000.0,235421446.0,107.04804693111943
LMT,Lockheed Martin,0000936468,59812000000.0,229000000.0,261.1877729257642
L,Loews Corporation,0000060086,3174000000.0,336621358.0,9.42899172785109
LOW,Lowe's,0000060667,86286000000.0,561000000.0,153.80748663101605
LULU,Lululemon Athletica,0001397187,11102600000.0,111380000.0,99.68216915065541
LITE,Lumentum,0001633978,1645000000.0,71400000.0,23.03921568627451
LYB,LyondellBasell,0001489393,30153000000.0,322084769.0,93.61821142185087
MTB,M&T Bank,0000036270,1657000000.0,149000252.0,11.12078656081736
MPC,Marathon Petroleum,0001510295,132699000000.0,357000000.0,371.70588235294116
MAR,Marriott International,0001048286,26186000000.0,265864771.0,98.49368121058806
MRSH,Marsh McLennan,0000062709,26981000000.0,485000000.0,55.630927835051544
MLM,Martin Marietta Materials,0000916076,6150000000.0,60309739.0,101.9735800879523
MAS,Masco,0000062996,7562000000.0,204300000.0,37.01419481155164
MA,Mastercard,0001141391,29845000000.0,122530193.0,243.57261887280305
MKC,McCormick & Company,0000063754,6840300000.0,268500000.0,25.475977653631286
MCD,McDonald's,0000063908,26885000000.0,710398642.0,37.84494847049553
MCK,McKesson Corporation,0000927653,359051000000.0,122487456.0,2931.3287394914955
MDT,Medtronic,0001613103,33537000000.0,1283366516.0,26.132051586111352
MRK,Merck & Co.,0000310158,65011000000.0,2472392003.0,26.29477846600202
META,Meta Platforms,0001326801,200966000000.0,2521000000.0,79.71677905593019
MET,MetLife,0001099219,2436000000.0,655333773.0,3.7171897746829536
MTD,Mettler Toledo,0001037646,4026399000.0,20359353.0,197.76654985057726
MGM,MGM Resorts,0000789570,17537683000.0,258323143.0,67.89048319995085
MCHP,Microchip Technology,0000827054,4401600000.0,541132605.0,8.134050617777874
MU,Micron Technology,0000723125,37378000000.0,1128000000.0,33.13652482269504
MSFT,Microsoft,0000789019,281724000000.0,7429000000.0,37.922196796338675
MAA,Mid-America Apartment Communities,0000912595,2209126000.0,116878077.0,18.90111521940937
MRNA,Moderna,0001682852,1944000000.0,394000000.0,4.934010152284264
TAP,Molson Coors Beverage Company,0000024545,13040300000.0,199100000.0,65.49623304871923
MDLZ,Mondelez International,0001103982,38537000000.0,1743809975.0,22.09931159500335
MPWR,Monolithic Power Systems,0001280452,2790459000.0,48709000.0,57.28836559978649
MNST,Monster Beverage,0000865752,8294343000.0,978113000.0,8.47994352390777
MCO,Moody's Corporation,0001059556,7718000000.0,177300000.0,43.530738860688096
MS,Morgan Stanley,0000895421,34275000000.0,1582834137.0,21.654195596869414
MOS,Mosaic Company (The),0001285785,12052400000.0,317408647.0,37.97124027311077
MSI,Motorola Solutions,0000068505,11682000000.0,165700000.0,70.50090525045262
MSCI,MSCI Inc.,0001408198,3134459000.0,73563183.0,42.609072530208486
NDAQ,"Nasdaq, Inc.",0001120193,8262000000.0,569894024.0,14.497432245402875
NTAP,NetApp,0001002047,6572000000.0,198000000.0,33.19191919191919
NFLX,Netflix,0001065280,45183036000.0,4222162150.0,10.701397623963826
NEM,Newmont,0001164727,22669000000.0,1089000000.0,20.816345270890725
NWSA,News Corp (Class A),0001564708,8452000000.0,579000000.0,14.597582037996546
NWS,News Corp (Class B),0001564708,8452000000.0,579000000.0,14.597582037996546
NEE,NextEra Energy,0000753308,14256000000.0,2083000000.0,6.8439750360057605
NKE,"Nike, Inc.",0000320187,46309000000.0,855351589.0,54.140309780847325
NI,NiSource,0001111711,6522800000.0,478432058.0,13.633701778403822
NDSN,Nordson Corporation,0000072331,2791687000.0,55920000.0,49.922871959942775
NSC,Norfolk Southern,0000702165,12180000000.0,224420699.0,54.27306863525989
NTRS,Northern Trust,0000073124,5017800000.0,186337588.0,26.928544336422345
NOC,Northrop Grumman,0001133421,41954000000.0,141997194.0,295.4565426130885
NCLH,Norwegian Cruise Line Holdings,0001513761,5396175000.0,455257489.0,11.853017534874644
NRG,NRG Energy,0001013871,30347000000.0,190376607.0,159.40508909269508
NUE,Nucor,0000073309,32494000000.0,227774615.0,142.65856623223794
NVDA,Nvidia,0001045810,26914000000.0,24304000000.0,1.1073897300855826
NVR,"NVR, Inc.",0000906163,10323959000.0,2799387.0,3687.935608760061
NXPI,NXP Semiconductors,0001413447,12269000000.0,4305030000.0,2.8499220679066117
ORLY,O’Reilly Automotive,0000898173,17781992000.0,841909238.0,21.12103205120075
OXY,Occidental Petroleum,0000797468,21569000000.0,986026416.0,21.874667503836935
ODFL,Old Dominion,0000878927,5496389000.0,208556788.0,26.35439993446773
OMC,Omnicom Group,0000029989,17271900000.0,313100000.0,55.16416480357713
ON,ON Semiconductor,0001097864,5995400000.0,396740551.0,15.111639041908777
OKE,Oneok,0001039684,33629000000.0,629707691.0,53.40414366957446
ORCL,Oracle Corporation,0001341439,57399000000.0,2875000000.0,19.96486956521739
OTIS,Otis Worldwide,0001781335,14431000000.0,438600000.0,32.90241678066575
PCAR,Paccar,0000075362,28444800000.0,525894443.0,54.08842093431286
PKG,Packaging Corporation of America,0000075677,8989300000.0,89213394000.0,0.10076177574860565
PLTR,Palantir Technologies,0001321655,4475446000.0,2391192000.0,1.8716380784144477
PANW,Palo Alto Networks,0001327567,9221500000.0,703000000.0,13.117354196301564
PSKY,Paramount Skydance Corporation,0002041610,12269000000.0,1000.0,12269000.0
PH,Parker Hannifin,0000076334,19850000000.0,126216529.0,157.26941754197662
PAYX,Paychex,0000723531,5410000000.0,358300000.0,15.099078984091543
PYPL,PayPal,0001633917,17772000000.0,920000000.0,19.317391304347826
PNR,Pentair,0000077360,4176000000.0,99204048.0,42.095056443664475
PEP,PepsiCo,0000077476,93925000000.0,1366649053.0,68.72649550652416
PFE,Pfizer,0000078003,50914000000.0,5686267431.0,8.953852525899604
